"date","time","ID1","behavior"
"09/01/2018","15:33:33","Tushi","pluck"
"09/01/2018","15:34:28","Ghineau","pluck"
"11/01/2018","12:07:45","Geisha","pluck"
"11/01/2018","12:58:46","Gaby","pluck"
"12/01/2018","14:06:00","Gaby","pluck"
"15/01/2018","15:06:15","Tushi","pluck"
"15/01/2018","15:07:07","Tushi","pluck"
"15/01/2018","15:07:16","Tushi","pluck"
"15/01/2018","15:08:49","Tushi","pluck"
"16/01/2018","12:21:28","Roosje","pluck"
"19/01/2018","13:03:47","Tushi","pluck"
"19/01/2018","13:40:05","Tushi","pluck"
"13/02/2018","13:13:06","Tesua","pluck"
"13/02/2018","13:15:52","Tesua","pluck"
"22/02/2018","12:19:08","Raimee","pluck"
"22/02/2018","12:20:52","Morami","pluck"
"05/03/2018","14:24:05","Roosje","pluck"
"05/03/2018","14:42:51","Tushi","pluck"
"12/03/2018","11:39:11","Ghineau","pluck"
"12/03/2018","12:16:47","Ghineau","pluck"
"12/03/2018","12:27:07","Geisha","pluck"
"22/03/2018","13:00:29","Geisha","pluck"
"10/04/2018","16:47:50","Roosje","pluck"
"16/04/2018","11:59:11","Ghineau","pluck"
"17/04/2018","10:34:32","Ghineau","pluck"
"19/04/2018","10:16:43","Giambo","pluck"
"26/04/2018","16:59:27","Fons","pluck"
"15/05/2018","13:26:43","Tesua","pluck"
"20/11/2017","12:05:01","Fons","manipulate-feces"
"20/11/2017","12:08:46","Fons","manipulate-feces"
"20/11/2017","12:10:43","Fons","manipulate-feces"
"20/11/2017","12:17:57","Moniek","manipulate-feces"
"20/11/2017","12:26:29","Roosje","manipulate-feces"
"20/11/2017","12:28:41","Roosje","manipulate-feces"
"20/11/2017","13:15:34","Jing","manipulate-feces"
"20/11/2017","13:17:44","Jing","manipulate-feces"
"20/11/2017","13:23:42","Morami","manipulate-feces"
"20/11/2017","13:26:35","Morami","manipulate-feces"
"21/11/2017","10:17:02","Roosje","manipulate-feces"
"21/11/2017","11:00:53","Roosje","manipulate-feces"
"21/11/2017","11:07:52","Roosje","manipulate-feces"
"21/11/2017","11:11:13","Giambo","manipulate-feces"
"21/11/2017","11:13:17","Giambo","manipulate-feces"
"23/11/2017","10:42:26","Roosje","manipulate-feces"
"23/11/2017","10:54:44","Roosje","manipulate-feces"
"23/11/2017","11:31:01","Roosje","manipulate-feces"
"23/11/2017","11:40:45","Jing","manipulate-feces"
"23/11/2017","11:53:43","Roosje","manipulate-feces"
"23/11/2017","11:57:16","Morami","manipulate-feces"
"24/11/2017","13:37:50","Ghineau","manipulate-feces"
"24/11/2017","13:38:06","Roosje","manipulate-feces"
"23/11/2017","10:33:20","Tesua","coprophagy"
"24/11/2017","13:43:18","Fons","manipulate-feces"
"24/11/2017","13:54:56","Gaby","manipulate-feces"
